player,pos,team,rec,yds_rec,tds_rec,att_rush,yds_rush,tds_rush,fl,att_pass,cmp,yds_pass,tds_pass,ints,fpts,sacks,ints,frs,ffs,tds,safeties,pas,yds_against,fg,fga,xpt
Julio Jones,WR,ATL,105.4,"1,611.3",7.8,1.9,12.8,0,1.4,0,0,0,0,0,206.7,0,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,GB,105.9,"1,316.8",12.4,0,0,0,0.7,0,0,0,0,0,204.6,0,0,0,0,0,0,0,0,0,0,0
DeAndre Hopkins,WR,HOU,108.4,"1,463.9",9.8,0.5,-2,0,1.4,0,0,0,0,0,202.3,0,0,0,0,0,0,0,0,0,0,0
Odell Beckham Jr.,WR,CLE,95.1,"1,352.8",9.9,5.4,26,0.1,0.7,0,0,0,0,0,196.2,0,0,0,0,0,0,0,0,0,0,0
JuJu Smith-Schuster,WR,PIT,105.2,"1,412.9",8.2,0.5,4.5,0,0.8,0,0,0,0,0,189.7,0,0,0,0,0,0,0,0,0,0,0
Antonio Brown,WR,OAK,103.5,"1,282.3",9.7,0,0,0,0.7,0,0,0,0,0,185.3,0,0,0,0,0,0,0,0,0,0,0
Mike Evans,WR,TB,92.4,"1,438.7",6.9,0,0,0,0.8,0,0,0,0,0,183.6,0,0,0,0,0,0,0,0,0,0,0
Michael Thomas,WR,NO,119.5,"1,367",7.7,0,0,0,0.9,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0
T.Y. Hilton,WR,IND,83.9,"1,375.8",7.4,0,0,0,0.7,0,0,0,0,0,180.2,0,0,0,0,0,0,0,0,0,0,0
Keenan Allen,WR,LAC,100,"1,326.3",6.3,5.5,40,0,0.9,0,0,0,0,0,173.2,0,0,0,0,0,0,0,0,0,0,0
Adam Thielen,WR,MIN,99.1,"1,294.7",6.7,4.1,24.3,0.1,0.8,0,0,0,0,0,170.5,0,0,0,0,0,0,0,0,0,0,0
Julian Edelman,WR,NE,89.2,"1,203.2",6.3,10.2,91.7,0.1,0.8,0,0,0,0,0,166.3,0,0,0,0,0,0,0,0,0,0,0
Amari Cooper,WR,DAL,81.4,"1,157.1",8.2,2,15.6,0,1,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0
A.J. Green,WR,CIN,81.2,"1,176.4",8,0,0,0,1.3,0,0,0,0,0,163.2,0,0,0,0,0,0,0,0,0,0,0
