Name,Salary,Team,Position,Opp,Pt/$/K,pOWN%,Floor,Ceil,PMIN,DvPRank,DvP,Points
Karl-Anthony Towns,$10.7K,MIN,C,LAC,5.84,33.10%,33,98.13,35,27,33.96,62.5
James Harden,$11.4K,HOU,PG/SG,@ MIL,5.18,10.00%,41.31,82.74,36,1,35.76,59.1
Giannis Antetokounmpo,$11.3K,MIL,SF/PF,HOU,5.18,10.10%,33.95,81.94,34,13,30.25,58.53
LeBron James,$10.2K,LAL,SF/PF,WAS,5.13,9.70%,29.99,73.26,33,15,30.36,52.33
Nikola Jokic,$10.0K,DEN,C,DET,5.23,4.40%,31.47,74.29,34,7,27.95,52.28
Bradley Beal,$9.3K,WAS,SG,@ LAL,5.07,5.50%,23.99,73.29,36,30,31.97,47.13
Kemba Walker,$8.6K,CHA,PG,SAS,5.32,6.70%,21.98,85.26,35,21,41.12,45.79
Trae Young,$8.2K,ATL,PG,@ NOP,5.57,26.50%,36.92,63.9,34,15,39.75,45.64
Kawhi Leonard,$9.1K,TOR,SF/PF,CHI,5,7.50%,20.35,68.92,32,4,23.49,45.52
Nikola Vucevic,$8.9K,ORL,C,@ MIA,5.11,3.60%,16.38,67.99,34,11,29.48,45.51
Luka Doncic,$8.5K,DAL,PG/SG,SAC,5.31,10.10%,35.77,63.22,31,16,25.1,45.16
Julius Randle,$8.1K,NOP,PF/C,ATL,5.57,30.70%,19.76,80.34,32,6,27.45,45.11
Andre Drummond,$8.7K,DET,C,@ DEN,5.16,5.40%,23.27,62.9,35,11,30.32,44.93
Elfrid Payton,$7.6K,NOP,PG,ATL,5.61,22.00%,20.15,66.98,33,30,25.6,42.61
John Collins,$7.3K,ATL,PF/C,@ NOP,5.67,20.00%,16.48,76.19,30,20,32.52,41.41
LaMarcus Aldridge,$7.9K,SAS,PF/C,@ CHA,5.22,6.40%,21.85,60.77,35,28,34.31,41.23
DeMar DeRozan,$7.7K,SAS,SG/SF,@ CHA,5.33,8.70%,21.13,74.86,35,29,30.58,41.02
