year,Tom Brady,Drew Brees,Philip Rivers,Eli Manning,Ben Roethlisberger,Aaron Rodgers,Peyton Manning
2000,0,0,0,0,0,0,370
2001,218,16,0,0,0,0,350
2002,317,251,0,0,0,0,345
2003,285,158,0,0,0,0,332
2004,299,286,5,79,219,0,427
2005,324,286,5,298,212,4,304
2006,283,328,263,260,270,3,371
2007,462,344,251,272,318,17,343
2008,3,389,345,253,256,358,316
2009,342,371,336,315,340,402,356
2010,348,363,361,331,257,368,369
2011,447,472,349,370,295,456,0
2012,405,437,288,304,276,409,382
2013,319,437,359,266,341,207,497
2014,343,393,349,350,378,410,390
2015,406,379,358,368,283,356,148
2016,296,422,355,304,314,442,0
2017,360,322,338,258,329,160,0
2018,349,354,344,307,420,361,0
