year,name,fpts
2005,Aaron Rodgers,4
2006,Aaron Rodgers,3.4
2007,Aaron Rodgers,17.9
2008,Aaron Rodgers,358.8
2009,Aaron Rodgers,402.5
2010,Aaron Rodgers,368.1
2011,Aaron Rodgers,456.3
2012,Aaron Rodgers,409.5
2013,Aaron Rodgers,207
2014,Aaron Rodgers,410.3
2015,Aaron Rodgers,356
2016,Aaron Rodgers,442.8
2017,Aaron Rodgers,160.6
2018,Aaron Rodgers,361.3
2004,Ben Roethlisberger,219.8
2005,Ben Roethlisberger,212.5
2006,Ben Roethlisberger,270.4
2007,Ben Roethlisberger,318.6
2008,Ben Roethlisberger,256.2
2009,Ben Roethlisberger,340.9
2010,Ben Roethlisberger,257.9
2011,Ben Roethlisberger,295.1
2012,Ben Roethlisberger,276.7
2013,Ben Roethlisberger,341.5
2014,Ben Roethlisberger,378.7
2015,Ben Roethlisberger,283.8
2016,Ben Roethlisberger,314.7
2017,Ben Roethlisberger,329.6
2018,Ben Roethlisberger,420.6
2001,Drew Brees,16.9
2002,Drew Brees,251.6
2003,Drew Brees,158
2004,Drew Brees,286.8
2005,Drew Brees,286.2
2006,Drew Brees,328.8
2007,Drew Brees,344.9
2008,Drew Brees,389.7
2009,Drew Brees,371
2010,Drew Brees,363.2
2011,Drew Brees,472.9
2012,Drew Brees,437.8
2013,Drew Brees,437.9
2014,Drew Brees,393
2015,Drew Brees,379.8
2016,Drew Brees,422.9
2017,Drew Brees,322.6
2018,Drew Brees,354.3
2004,Eli Manning,79.8
2005,Eli Manning,298.3
2006,Eli Manning,260.7
2007,Eli Manning,272.2
2008,Eli Manning,253.5
2009,Eli Manning,315.9
2010,Eli Manning,331.7
2011,Eli Manning,370.5
2012,Eli Manning,304.9
2013,Eli Manning,266.8
2014,Eli Manning,350
2015,Eli Manning,368.4
2016,Eli Manning,304.9
2017,Eli Manning,258.3
2018,Eli Manning,307.5
2000,Peyton Manning,370.6
2001,Peyton Manning,350.8
2002,Peyton Manning,345.2
2003,Peyton Manning,332.6
2004,Peyton Manning,427.9
2005,Peyton Manning,304.3
2006,Peyton Manning,371.8
2007,Peyton Manning,343.9
2008,Peyton Manning,316.7
2009,Peyton Manning,356.2
2010,Peyton Manning,369.3
2012,Peyton Manning,382.5
2013,Peyton Manning,497.1
2014,Peyton Manning,390.5
2015,Peyton Manning,148.1
2004,Philip Rivers,5.2
2005,Philip Rivers,5.7
2006,Philip Rivers,263.1
2007,Philip Rivers,251.3
2008,Philip Rivers,345
2009,Philip Rivers,336.1
2010,Philip Rivers,361.2
2011,Philip Rivers,349.1
2012,Philip Rivers,288.7
2013,Philip Rivers,359.6
2014,Philip Rivers,349.1
2015,Philip Rivers,358.8
2016,Philip Rivers,355.4
2017,Philip Rivers,338
2018,Philip Rivers,344.5
2000,Tom Brady,0.3
2001,Tom Brady,218.7
2002,Tom Brady,317.6
2003,Tom Brady,285.7
2004,Tom Brady,299.7
2005,Tom Brady,324.8
2006,Tom Brady,283.3
2007,Tom Brady,462.6
2008,Tom Brady,3.8
2009,Tom Brady,342.6
2010,Tom Brady,348.3
2011,Tom Brady,447.3
2012,Tom Brady,405
2013,Tom Brady,319.2
2014,Tom Brady,343.7
2015,Tom Brady,406.1
2016,Tom Brady,296.2
2017,Tom Brady,360.1
2018,Tom Brady,349.6
